iter	RMSE
0	800.3689136
1	732.5951041
2	672.2505103
3	617.0280543
4	568.9725261
5	525.5889953
6	486.4134263
7	452.0629179
8	419.8123059
9	390.3469451
10	364.7253624
11	342.2633452
12	323.4487341
13	306.6791623
14	292.0277608
15	278.0283007
16	264.7478776
17	253.7721857
18	244.6505856
19	233.6229973
20	225.0468551
21	218.8999886
22	212.4722452
23	207.0051391
24	202.6091358
25	198.169621
26	194.0235392
27	190.1185939
28	185.6913164
29	183.3803354
30	179.8948175
31	177.4786412
32	173.5985952
33	171.4524754
34	169.484372
35	167.006095
36	165.6496084
37	164.1957235
38	162.305206
39	159.9178704
40	157.866779
41	156.4972609
42	155.5532526
43	153.8416431
44	153.4159533
45	152.1362544
46	152.0741519
47	151.4199514
48	150.6350826
49	149.3489907
50	149.2296353
51	148.2351011
52	147.4914696
53	145.8862437
54	145.7949362
55	145.4796875
56	144.912158
57	144.5397248
58	143.9952347
59	143.5411962
60	142.9334793
61	142.3771179
62	142.3371026
63	142.3022603
64	141.6415399
65	140.3872502
66	139.8160708
67	139.3431777
68	138.8456929
69	138.1952114
70	137.7923022
71	137.3773629
72	137.3603508
73	136.8571791
74	136.555631
75	136.3009738
76	136.0237422
77	134.649252
78	133.6840616
79	132.382837
80	131.4339984
81	130.0644961
82	128.7393438
83	128.6225616
84	128.3988045
85	126.554261
86	126.1532306
87	125.5998045
88	125.2890819
89	124.9948979
90	124.3631289
91	124.0611321
92	123.5960877
93	123.4322078
94	123.0020727
95	122.3809912
96	122.1911191
97	121.1474341
98	121.0152464
99	120.2584822
100	120.2282443
101	119.6600114
102	119.6280147
103	119.5027617
104	119.2825333
105	119.096154
106	118.4192163
107	118.2656123
108	117.0589299
109	116.9303087
110	115.9199906
111	115.7346559
112	115.4263771
113	114.7492002
114	114.1146804
115	114.0471545
116	113.2424475
117	113.1764583
118	112.711928
119	111.9093426
120	111.1764917
121	110.7021674
122	110.3062199
123	109.3870061
124	108.7034967
125	108.1318215
126	107.8453748
127	107.6449588
128	107.0541708
129	106.5286636
130	106.0446667
131	105.4926914
132	105.1813623
133	104.6673073
134	104.5387421
135	104.0885293
136	103.3865987
137	102.898488
138	102.4789346
139	102.3644293
140	101.8788272
141	101.8042555
142	101.6988247
143	101.6018223
144	100.8468289
145	100.7565862
146	100.6731795
147	100.4266035
148	100.2623462
149	99.29892956
150	99.09537374
151	98.4679726
152	98.39177132
153	98.1780611
154	97.84379901
155	97.65691079
156	97.50125205
157	97.47715387
158	97.02739732
159	96.9584673
160	96.62207371
161	95.78244595
162	95.41739941
163	95.39533919
164	95.19333496
165	95.13465596
166	94.84328541
167	94.818269
168	94.80511744
169	94.30494813
170	93.81103766
171	93.78719472
172	93.63532867
173	93.45315665
174	93.43090542
175	92.48472933
176	92.31695924
177	92.15812681
178	91.52921368
179	91.35582525
180	91.19992419
181	90.96988156
182	90.91703879
183	90.8992522
184	90.33352246
185	89.93896698
186	89.4913382
187	89.34177817
188	89.18019699
189	88.47605351
190	88.33290502
191	88.15978258
192	88.02477921
193	87.85419878
194	87.83587735
195	87.81860208
196	87.67372233
197	87.14906953
198	87.0205583
199	86.54441162
200	86.26067911
201	85.835112
202	85.81984976
203	85.05666445
204	85.02616172
205	84.62746205
206	84.37204031
207	84.21372925
208	83.52710018
209	83.39940419
210	83.24172852
211	83.1205129
212	82.79758342
213	82.42096562
214	82.32262279
215	82.17171487
216	82.14423925
217	82.09173679
218	82.07524548
219	81.56448736
220	81.25984438
221	81.09414008
222	80.70751353
223	80.61902356
224	80.46540707
225	80.2193843
226	80.19455152
227	79.60208518
228	79.26430305
229	79.15937683
230	79.1443444
231	79.12113948
232	78.76667661
233	78.43244936
234	78.29312227
235	77.74033427
236	77.63934018
237	77.2383559
238	77.19944193
239	77.06639599
240	76.91043925
241	76.89775015
242	76.41627509
243	76.1871116
244	75.96142206
245	75.74766718
246	75.60875471
247	75.16816048
248	75.11498982
249	75.09429625
250	74.94884952
251	74.82411408
252	74.80455883
